,book_name,reader,review_rate,review_title,purchase_status,review_body,review_voting,review_country,review_date
10, Tao Te Ching (Illustrated Journey) ,Henry Evans,5.0,An Excellent Rendering For The 21st Century,1,"          Several centuries back Basho wrote a haiku about a frog jumping into a pond.  Today you can find literally dozens of English translations of this poem stretching back across the centuries, and many of them (though different) are very good though each revision is in some fashion or another grounded in the place and time of its translator.I start this way so that I can suggest that Stephen Mitchell's translation is a very modern one...it is written for us in this century.  I do not agree with all of Mitchell's substitutions, his ""betrayals"" if you will, but what results, I feel, is a book that excellently encapsulates the essence of the Way in words and phrases that we moderns can readily grasp on to.It is also a beautiful book.I would not want to have it as my only copy of the Tao Te Ching, but I would want to have it.  ",1,United States ,2013-08-29
11, Tao Te Ching (Illustrated Journey) ,kimberlyj,5.0,The Way of 'No way',1,"          This book allows me great peace. It's prose and philosophis can change ones perceptions towards 'allowance'.From force of will and resistance based (egoic) operating ~to a more graceful way of ""no way"" within through quiet (heart) observance of all ~in nature.. as 'a river flows on past any branches, over rocks towards its goal of meeting in tI'm of no time with the sea.. '  ",1,United States ,2017-07-06
12, Tao Te Ching (Illustrated Journey) ,A. Christi,5.0,Great Gift of Love for life and the Soul,1,"          I treasure this book which I bought on Amazon in hardback 2 years or so ago. I still pick it up almost daily, and miss it when I leave it behind. I get new and deeper meaning from the vibration of the words each time. I just read a review that rated it as 1 star-- I, myself, could care less about its technical aspects being 'right' or 'wrong' or whatever else--all I know is it keeps helping me open my heart more and more--accepting all things, all people, and life as it is, as all is one.I have recently spent a lot of time with Byron Katie's ""A thousand names of Joy"" -- as she translates this book into her own enlightened version -- I could embody the gift of the Tao much deeper -- I am grateful for this husband and wife team!  A Thousand Names for Joy: Living in Harmony with the Way Things Are          I also bought the CD, as I am on the road a lot and can listen over and over until the deepest essence of the words/vibration sink in. When I hear it I know it is truth... it is just being able to live it always.  ",3,United States ,2009-10-13
13, Tao Te Ching (Illustrated Journey) ,Jack Edward Heald,5.0,"Beautiful Translation, Beautiful Book",1,          This has become my favorite translation of the Tao Te Ching.I read it almost every day.And the art work is simply astonishing.I wish there was a way to buy selected prints of the art.Amazing. Just amazing.If you are a fan of the Tao Te Ching - or of Taoist art - I guarantee you will love this book.  ,0,United States ,2019-02-07
14, Tao Te Ching (Illustrated Journey) ,Josiah Alliss,4.0,Great book! I must recommend,1,"          Strictly on the quality and presentation of this book not the contents. This is about 90 pages and paperback but I love the way it feels in my hands. It is thin but it feels like a good quality book other than there was a minor defect in the front cover, it appears to be a crease of some kind. I received my copy a day early and am very excited to get into the contents! This was overall a very satisfying purchase especially for the price!  ",0,United States ,2021-02-11
15, Tao Te Ching (Illustrated Journey) ,nick,5.0,Great Text,1,"          I bought this for a class on eastern philosophy and it really is pretty amazing; it is the type of text you can speed through (because it is essentially a series of poems/proverbs), or that you can spend the rest of your life studying and then trying to ""put into practice"" in various different ways. This version is translated by Mitchell (Amazon sells identical translations) except this one is illustrated with beautiful artwork, so if it is for a class, i would buy this one (i actually bought both because i tend to mark up my texts and wanted a clean copy as well). Whatever the reason the Tao Te Ching interests you, i recommend the artwork version - it just seems to add something and, if nothing else, it gives you something nice to look at as you contemplate the teachings of Lao-tzu.  ",1,United States ,2013-03-17
16, Tao Te Ching (Illustrated Journey) ,ARNOLD BREIS,5.0,The illustrations are wonderful and just enhances the beauty of the work,1,"          The most lucid book ever written regarding attaining a fulfilled life. This is a transliteration and not a direct translation. It doesn't matter. As someone who has practiced Tai Chi for over 30 years, the Tao Te Ching by Stephen Mitchell is right on in meaning and a guide to what is possible. The illustrations are wonderful and just enhances the beauty of the work. I hardily recommend this book to anyone seeking the truth about living in the here and now. In addition, it makes a wonderful gift to anyone who is seeking a fulfilled life.  ",2,United States ,2014-08-04
17, Tao Te Ching (Illustrated Journey) ,Martha A.,1.0,Disappointed,1,          I personally didn’t like the translation of it. It was by a guy named James Legge and you can tell it’s roughly translated if you’ve read other versions. I tried to return it and amazon gave me a refund or they are in the process of it which I really am thankful for. I just don’t know what to do with the book. Also if anyone’s curious the first line is “The tao that can be described is not the enduring and unchanging tao” I feel like the first line tele you the translation style  ,0,United States ,2021-05-09
18, Tao Te Ching (Illustrated Journey) ,Scarson,3.0,GOING ON A JOURNEY OF SPIRITUAL ENLIGHTENMENT,1,"          Having studied various religions, I did like this book and the gorgeous interpretations and artwork inside, the message was great as well but not spectacular. I am comparing this to my studies of the Bible, the Hindi scriptures and various other religious texts. It didn't delve as deep as I wished it would have in spirituality, more a book just telling you how/how not to live, but I am more than happy that I purchased it to add to my collection on humanities religious texts. Hope this helps!  ",2,United States ,2014-01-17
19, Tao Te Ching (Illustrated Journey) ,DrabAbarD,5.0,"Surprised by texture of the cover, but happy.",1,"          I bought this version of the Tao Te Ching based on other reviews, and was not disappointed.It is truly beautiful in content, phrasing, imagery, and cohesive presentation.The only surprise I had was the glossy paper jacket, which on the picture appears to be that nice cloth type. The cloth texture is printed. I can't seem to care, though, as I am so very pleased with what is inside the cover.  ",1,United States ,2015-03-16
20, Tao Te Ching (Illustrated Journey) ,Kelly,3.0,A difficult version to understand.,1,"          This paperback book is beautiful and of good quality, however,  the interpretation of this version is very difficult to understand.  Notes on the interpretations are often right in the middle of the verse which interrupts the flow. I have read three different interpretations of the Tao te Ching. This is my least favorite and I do not reccomend it.  ",0,United States ,2021-10-08
21, Tao Te Ching (Illustrated Journey) ,Michael D. Gilmore,5.0,TAO TE CHING  Lao Tzu,1,"          This is a beautiful book!  I ortginally purchased  a copy of the Tao Te Ching in a small paperback, which was d=exceedingly difficult to read and no illustrations.  This book is easy to read and is appropriate to display.  HIGHLY RECOMMENDED.  ",2,United States ,2016-05-07
22, Tao Te Ching (Illustrated Journey) ,Roxas the Blue,5.0,Beautiful book,1,"          Very well made. Initially i had listened to this translation as an audio book and later decided to purchase it as a valentines day gift. It is a good translation and the use of He/She is also appreciated, as well as the pictures and easy flowing text. I would recommend this book,Thank you :)  ",0,United States ,2020-02-15
23, Tao Te Ching (Illustrated Journey) ,Alfonso,1.0,Not what I expected,1,"          The book supposed to be In “Very Good Conditions” And guess what, the wrapping  cover was missing, I was hoping for the book to be in better conditions and looking forward to get the book with its cover like the one on the picture but I guess my expectations were to high. No luck on this one. I should of just bought it brand New!  ",0,United States ,2019-04-26
24, Tao Te Ching (Illustrated Journey) ,Walter R Scruggs,5.0,Eternal Wisdom re-discovered,1,"          Many years ago I had a different edition of the Tao Te Ching. While I was away in the Air Force, mymother, a christian, determined to protect me from Eastern influence, was kind enough to throwaway my copy along with The Three Pillars of Zen. I am happy once again to enjoy this wonderfultranslation along with the beautiful artwork.  ",2,United States ,2015-10-17
25, Tao Te Ching (Illustrated Journey) ,Mike O,5.0,Beautiful,1,          One of my favorite books ever... beautiful translation and illustrations.  ,0,United States ,2019-12-22
26, Tao Te Ching (Illustrated Journey) ,Matthew McGoldrick,2.0,Feminine,1,"          Version of translations is difficult to comprehend compared to original translation I read. I say feminine because pronoun used is she.Didn’t resonate with me, donated  ",0,United States ,2021-07-30
27, Tao Te Ching (Illustrated Journey) ,Judy Roberts,5.0,Brought me to tears,1,"          I LOVE this book.Unlike some other reviewers, who have read several translations of the Tao Te Ching, I have read it for the first time.While I was reading, a thought crossed my mind, ""Under which rock have I been hiding for sixty years?  Why have I found this book only now?""Of course that judgmental thought in itself is out of sync with the Tao which, like the ocean, accepts whatever flows into it, whenever that may happen.Suffice it to say, I am extremely grateful to have stumbled on the wisdom of Lao Tzu.There are so many compliments to pay this book.  Where to begin?  Lao Tzu provided the content, which is simple yet profound.  Stephen Mitchel has provided a translation that is elegant and poetic.I was going to say that this would be my choice if I was allowed to take one book to that proverbial desert island.  But then it occurred to me that, having read this one, I would have no need of books.  Its message is inscribed in my heart - and that always goes with me.All the same, as long as I haven't yet been stranded on that island, I'm sure I'll return to this gem repeatedly, to savour its beauty and no doubt to discover fresh insights on subsequent readings.Potential customers who, like me, have not read the Tao Te Ching, may be interested to know how I found out about it.  I'd read ""A Thousand Names for Joy : Living in Harmony with the Way Things Are"" (Byron Katie's commentary on excerpts from the Tao Te Ching)  and, before that, ""Loving What Is : Four Questions That Can Change Your Life"" (which describes 'The Work' of Byron Katie).  I'd found those books supportive too.  ",1,United States ,2013-01-15
28, Tao Te Ching (Illustrated Journey) ,charles.c,5.0,Mankind for centuries has searched for the truth about life ...,1,"          Mankind for centuries has searched for the truth about life. Yet, the truth has not been hidden, it is right in front of us.Laos Tzu say’s it all.A must read for all of Mankind.  ",1,United States ,2017-10-13
29, Tao Te Ching (Illustrated Journey) ,Wally Jasper,2.0,A pre-digested rendition/interpretation/commentary,1,"          First of all, this is not a translation of the Tao Te Ching; it is a loose rendition/interpretation/commentary of the great work by Lao Tzu. As such, well, it is what it is. It gives some of the flavor, some hints of the meaning, and even sometimes, a sense of Lao Tzu's style and imagery. However, if you are looking for translations that follow the original more closely, that often speak through imagery and metaphor, that sometimes seem perplexing to our mentally constructed way of thinking, you would do well to look elsewhere.I've been reading Mitchell's rendition concurrently, stanza by stanza, with versions by Gia-fu Feng/Jane English and by Ursula Le Guin, both of which are more similar to each other than to Mitchell's version. These latter two are spare, they contain much imagery and metaphor, and they leave a lot unsaid, undigested so that the reader must reach beyond the thinking mind to grasp ineffable truths. Mitchell, on the other hand, lays it all out with his own understanding. But in doing this he takes grossly excessive liberties with the text. He's basically just presenting his understanding of what he thinks Lao Tzu really wanted to say, kind of like pre-digested pablum that is fed to infants. It reads like commonplace generic New Age consensus mind-speak. This approach diminishes Lao Tzu's teaching. I myself prefer the less digested, less pre-packaged versions. (Between the Feng/English and Le Guin versions, I prefer Le Guin's. It is poetical, direct, spontaneous and sometimes playful. Fresh.) For those looking for a more authentic Tao Te Ching, you may want to continue your search; compare various versions before just going with the most popular.  ",2,United States ,2016-04-14
30, Tao Te Ching (Illustrated Journey) ,Laura,5.0,A beautiful rendition of Lao Tzu,1,"          If you are a lover of Lao Tzu, you will joy in this exquisite book.  The illustrations are as genuine and touching as the old author himself, and I so appreciate the translation of Stephen Mitchell.  I have recently purchased two copies for gifts, and, although I have several copies of the beloved Tao Te Ching, none is so beautiful as this.  ",0,United States ,2014-02-20
31, Tao Te Ching (Illustrated Journey) ,Céline,2.0,Two Stars,1,          Looks like someone used a printer and glued it together  ,1,United States ,2017-12-12
32, Tao Te Ching (Illustrated Journey) ,James Cowan,5.0,Study and live it daily,1,          What seems paradoxical is made congruent. Ancient yet so applicable to every modern day. To be calm in this frantic world rely on the principles of Tao.  ,0,United States ,2018-08-19
33, Tao Te Ching (Illustrated Journey) ,Meg Mitcham,5.0,Very Lovely Book & Wonderful Translation!,1,"          This is a really lovely book - the illustrations are absolutely gorgeous, perfectly appropriate and do not interfere with the text. The paper is very thick. The translation is wonderful and is more fully addressed in other reviews. I purchased this as a college graduation gift and read it through before gifting - it's a perfect marriage of images and words.  ",0,United States ,2013-08-20
34, Tao Te Ching (Illustrated Journey) ,stefan attaway,5.0,"Fantastic wisdom, so easy to understand",1,"          This is a great translation, love Lao's words, the practice has changed my life, its simple to apply, difficult to practice though easy to learn.  ",0,United States ,2020-01-09
35, Tao Te Ching (Illustrated Journey) ,RT Garou,5.0,Amazing,1,"          As far as modernizing a 1500 year old book can go, it's outstanding. The outmoded direct transliteration really fails to connect so well to a modern audience.Stephen Mitchell really brings this work to relevance and I'd strongly recommend it to anyone looking to work in any leadership position.  ",1,United States ,2015-08-28
36, Tao Te Ching (Illustrated Journey) ,Aaron,3.0,"The artwork in this journey is beautiful, however the forced modern-day translation hurts it for ...",1,"          The artwork in this journey is beautiful, however the forced modern-day translation hurts it for me. I can understand why Mr. Mitchell would spruce up the translations, nevertheless it can break the readers immersion into the book, and the philosophy. Which to speak positively, was fantastic, although I may disagree with some the beliefs in this text, I can appreciate why one may believe those things.  ",0,United States ,2016-06-30
37, Tao Te Ching (Illustrated Journey) ,Damian P. Gadal,5.0,Good Little Book,1,          Good little book. Nice to have a copy on my Kindle to carry around and read from time to time for inspiration and insight.  ,0,United States ,2017-10-25
38, Tao Te Ching (Illustrated Journey) ,Rodney van Royden,5.0,Great pictures and prose,1,          Beautiful book  ,0,United States ,2021-05-21
39, Tao Te Ching (Illustrated Journey) ,Lisa Beier,5.0,Worth it!,1,          Beautiful art work. Translation is wonderful also. I find this book helps me begin my meditation.  ,0,United States ,2018-12-28
40, Tao Te Ching (Illustrated Journey) ,Pomfritz,5.0,Beautiful,1,"          Love the translation.  I read another version and it had me scratching my head  at times.  I realize the difficulty in translating ancient chinese and it is subject to interpretation, but this one seems to make sense and it helps to focus on what is important.  In the end I think that is what matters.  ",0,United States ,2014-01-02
41, Tao Te Ching (Illustrated Journey) ,Christopher,5.0,Highly recommended for anyone who is interested in Eastern Culture and/ or Buddhism/ Taoism,1,          Masterful interpretation. Brings to light the ancient mysteries which describe the ideal way to live life. Stunning book.  ,2,United States ,2015-10-13
42, Tao Te Ching (Illustrated Journey) ,James,3.0,"According to the Amazon display, this work was supposed ...",1,"          According to the Amazon display, this work was supposed to a digital version of the Stephen Mitchell work. Instead, it is the Legge translation.  ",3,United States ,2016-10-06
43, Tao Te Ching (Illustrated Journey) ,Jedwardian,3.0,Useful for Deep Thinkers,1,          Interesting. Takes a while to interpret meaning but when read over a few times messages come through.  ,0,United States ,2017-09-08
44, Tao Te Ching (Illustrated Journey) ,Jay Bee,5.0,I love this translation/updating,1,"          I love this translation/updating. I keep it next to another translation that's a bit closer to ""authentic"", and I love to go between the two. It can really help to open the text in a way that is accessible.  ",0,United States ,2016-01-09
45, Tao Te Ching (Illustrated Journey) ,Sk8er Monk Rōshi,5.0,Great lessons no matter how they are worded,1,"          Another version, another perspective. Great lessons no matter how they are worded. Read it and re-read it. Each time you will find just a little more.  ",1,United States ,2015-10-22
46, Tao Te Ching (Illustrated Journey) ,Photo1,5.0,Tao Te Ching,1,          I got this book because of all the books Dr. Wayne Dwyer has written in which he uses these sayings. Thank you Lao Tzu and Dr Dwyer. The writings are wise without doubt and simple to understand. Very uplifting to me and a cause for pause and reflection.  ,0,United States ,2014-01-26
47, Tao Te Ching (Illustrated Journey) ,DrKarma,5.0,Five Stars,1,          A must for the library  ,0,United States ,2018-02-21
48, Tao Te Ching (Illustrated Journey) ,gavalos,5.0,Nicely illustrated Tao.,1,"          Very nice book. Glossy pages, good quality. Very good price. The illustrations add quite a bit to the simple timeless philosophy of the Tao. Must have if you are into self awareness and seek to be a part of the larger cosmic experience. Not just for tree huggers.  ",0,United States ,2014-01-01
49, Tao Te Ching (Illustrated Journey) ,TMac,3.0,Three Stars,1,          Thumbs up!  ,0,United States ,2018-01-11
50, Tao Te Ching (Illustrated Journey) ,Amazon Customer,2.0,This Book is very difficult to Follow.,1,          This Book is written in Riddles.  Maybe I will understand the meaning behind it when i read it later.  ,0,United States ,2020-08-25
51, Tao Te Ching (Illustrated Journey) ,Amazon Customer,5.0,That which can be seen...,1,"          Those who know, do not quibble.Those who quibble, do not know.  :-)This is by and far my most favorite interpretation of the Tao Te Ching.  Because that's exactly what it is - an interpretation.  Not a pedantic word-by-word translation.Of course, I say that as a big fan of The Tao Of Pooh and The Te Of Piglet.....  ",0,United States ,2016-03-16
52, Tao Te Ching (Illustrated Journey) ,Karen,5.0,Lovely book,1,"          The books arrived in perfect condition. The words of the book are inspiring to me at a time when i was becoming very concerned for planet Earth and our treatment of her and our attitudes towards our fellow ""man"".Cheers Karen  ",0,United States ,2013-04-03
53, Tao Te Ching (Illustrated Journey) ,Vladimir,5.0,Well crafted book and of course amazing content!,1,"          I got this book recommended by our CEO in this translation. I also like the audio version, but this illustrated hard cover book is an amazing piece of art. Fascinating!  ",0,United States ,2019-03-07
54, Tao Te Ching (Illustrated Journey) ,Matt W.,5.0,Beautiful,1,          I purchased this version of the Tao Te Ching for the artwork it contains.  The illustrations in the book make it a for sure add to any collection of eastern philosophy library.  I recommend this item for any who wish to read these words of wisdom.  Great book!  ,1,United States ,2011-12-20
55, Tao Te Ching (Illustrated Journey) ,lgh,5.0,Still reading,1,"          I bought this because Wayne Dyer mentions it in one of his audio . I am  reading it as well as listening to Wayne's version. If only the world would live this way, we would have heaven right hear on earth  ",0,United States ,2013-10-28
56, Tao Te Ching (Illustrated Journey) ,Denys,1.0,Not good translation imho,1,          It doesn’t feel like the person who translated this was in Tao.  ,0,United States ,2021-01-18
57, Tao Te Ching (Illustrated Journey) ,djlebanza,5.0,beautiful book,1,"          beautifully illustrated version of a classic. would suggest as companion for one of derek lin's books, on same topic...  ",0,United States ,2015-09-21
58, Tao Te Ching (Illustrated Journey) ,MISS CB ANDERSON,5.0,Five Stars,1,          Beauty and wisdom! I cant ask for more  ,1,United States ,2018-01-17
59, Tao Te Ching (Illustrated Journey) ,"Jason Gregory (Author of Effortless Living, Fasting the Mind, Enlightenment Now, & The Science and Practice of Humility)",5.0,Entering the Inner Mystery Through the Tao,1,"          This edition of the Tao te Ching is one for the ages. The beautiful art in this version is a great companion to the eternal wisdom within the pages of this epic. Throughout the journey of my own introspection no one piece of wisdom has been at my side more than the Tao te Ching, and it is an gift to see the Way in this light. The Tao te Ching speaks to everybody on many different levels of understanding. The Tao is a book that is felt rather than intellectualized, and it can be read in its entirity in one afternoon yet contemplated for a lifetime.  ",2,United States ,2011-12-22
60, Tao Te Ching (Illustrated Journey) ,Alma Longoria,4.0,What is better left alone than rushed or forced,1,"          Lao Tsu may be an influential, legendary figure in ancient Chinese culture, but his attributed work – a poem consisting of 81 separated chapters – transcends any state or continent and offers a heavily loaded simplicity to all people. Where are you going? What are you trying to accomplish? What is better left alone than rushed or forced?In soliditarity with basic tenets of Buddhism, Taoism accepts nature and the progression of life events as they are without human muddling or interference. Tao does not force anyone to bend to its will, but exists outside of human interpretation of it. Readers can guess, but must remain satisfied with not having answers to every inquiry. The Tao is eternal.  ",3,United States ,2017-03-01
61, Tao Te Ching (Illustrated Journey) ,Craig B.,4.0,Words to live by. Translation a little​ difficult.,1,          I learned about the tao in Thai chi class and have been watching the old Kung Fu TV show. They are great words to live by if you can understand this translation. I hear the Steven Mitchell translation is better for Americans.  ,0,United States ,2017-03-17
62, Tao Te Ching (Illustrated Journey) ,Florence E. Fessler,5.0,Very nice book,1,          I really like this book. It is very nice and the illustrations are wonderful.  Easy to read no matter which page you select.  ,1,United States ,2014-05-22
63, Tao Te Ching (Illustrated Journey) ,Balin,5.0,A must have,1,          A great source of wisdom; easy to read and beautiful art to complement the experience. A must have book handy at one's night table. Absolutely beautiful content and excellent translation.  ,0,United States ,2013-09-21
64, Tao Te Ching (Illustrated Journey) ,Melanie Baczynski,1.0,This isn't Stephen Mitchell's translation,1,          I bought this because it says Stephen Mitchel is the author and was mislead.  ,0,United States ,2021-05-09
65, Tao Te Ching (Illustrated Journey) ,:D-,4.0,This is a beautiful book. The layout and printing are wonderful complements ...,1,          This is a beautiful book. The layout and printing are wonderful complements to the text. Would love it even more as a lay-flat hardback!  ,0,United States ,2015-01-10
66, Tao Te Ching (Illustrated Journey) ,Karl,5.0,The best translation,1,"          The best book and best translation on this.  Everyone in the world should have one.  Best translation.  A clear picture.  You only have to read the passages to help you feel better about the world and your true place in it.  It's basically a collection of statements that are quite calming to think about.  There is also accompanying artwork.  It's hard to describe what this book really is or what it does for you.  Just some short statements of profound wisdom.  If you are interested in Asian philosophy just get it.I think that it's particularly useful for people going through rough times and difficulties.  It reminds you of the true nature of the world, the universe and your place in it.  ",0,United States ,2014-09-22
67, Tao Te Ching (Illustrated Journey) ,BJJ,5.0,Five Stars,1,          good deal  ,0,United States ,2017-03-17
68, Tao Te Ching (Illustrated Journey) ,Arturo Fernandez,5.0,Short,1,          It was a bit short and it just talks about the Tao. I was expecting something else but this helps with my study of disciplines.  ,0,United States ,2016-06-05
69, Tao Te Ching (Illustrated Journey) ,Timsky87,5.0,Five Stars,1,          good very damn good.  ,0,United States ,2016-11-27
70, Tao Te Ching (Illustrated Journey) ,L. A.,5.0,really enjoy this book,1,"          really enjoy this book...  It's my bedtime, relax time, book of choice..  What beautiful thoughts to go to sleep with.  ",0,United States ,2018-03-14
